Unnamed: 0,poly,name,date,HATO,TIPO DE FORRAJE,AFORO,NUMERO ANIMALES,LECHE TOTAL,LECHE VACA,lote_change,ultimo_pastoreo,dias_de_pastoreo,dias_sin_pastoreo,ultimo_animales,ultima_fumigada,ultima_siembra,ultima_renovada,ultima_desbrosada,ultima_abonada,ultima_enmienda,ultima_rotobo,dias_sin_fumigada,dias_sin_siembra,dias_sin_renovada,dias_sin_desbrosada,dias_sin_abonada,dias_sin_enmienda,dias_sin_rotobo
2510,1,RC02,2020-01-20,RECODO 3,RAYGRAS,1.4,123.0,2526.0,20.536585365853654,False,2020-01-20 00:00:00,2,36 days 00:00:00,123.0,2019-12-30 00:00:00,2019-10-05 00:00:00,2019-04-01 00:00:00,,2019-04-01 00:00:00,,,21 days 00:00:00,107 days 00:00:00,294 days 00:00:00,,294 days 00:00:00,,
166,146,La_Isla-Lote_ML_5,2020-01-21,ISLA,KYKUYO,1.2,62.0,1052.0,16.967741935483872,False,2020-01-21 00:00:00,2,,62.0,2019-12-24 00:00:00,2019-10-30 00:00:00,,2019-10-29 00:00:00,2019-12-12 00:00:00,2019-06-12 00:00:00,2019-10-29 00:00:00,28 days 00:00:00,83 days 00:00:00,,84 days 00:00:00,40 days 00:00:00,223 days 00:00:00,84 days 00:00:00
635,83,Juncalito-Lote_3,2020-01-21,JUNCAL,KYKUYO,1.3,125.0,2069.0,16.552,False,2020-01-21 00:00:00,1,51 days 00:00:00,125.0,2019-12-24 00:00:00,,,,2019-09-19 00:00:00,2019-02-13 00:00:00,,28 days 00:00:00,,,,124 days 00:00:00,342 days 00:00:00,
1104,115,Paraiso-Lote_14,2020-01-21,PARAISO,KYKUYO,1.2,112.0,1979.0,17.669642857142858,False,2020-01-21 00:00:00,3,37 days 00:00:00,112.0,2019-12-24 00:00:00,,2019-03-11 00:00:00,2019-03-09 00:00:00,2019-07-02 00:00:00,2019-05-27 00:00:00,,28 days 00:00:00,,316 days 00:00:00,318 days 00:00:00,203 days 00:00:00,239 days 00:00:00,
1573,23,RC24,2020-01-21,RECODO 1,KYKUYO,1.4,119.0,2222.0,18.672268907563023,False,2020-01-21 00:00:00,1,47 days 00:00:00,119.0,2019-02-19 00:00:00,,2019-04-11 00:00:00,,,,,336 days 00:00:00,,285 days 00:00:00,,,,
2042,38,RC39,2020-01-21,RECODO 2,KYKUYO,2.2,133.0,2537.0,19.07518796992481,False,2020-01-21 00:00:00,3,55 days 00:00:00,133.0,2019-05-10 00:00:00,,2019-03-13 00:00:00,2019-03-13 00:00:00,2019-03-15 00:00:00,2019-05-10 00:00:00,,256 days 00:00:00,,314 days 00:00:00,314 days 00:00:00,312 days 00:00:00,256 days 00:00:00,
2511,0,RC01,2020-01-21,RECODO 3,RAYGRAS,1.6,123.0,2446.0,19.886178861788622,False,2020-01-21 00:00:00,1,36 days 00:00:00,123.0,2019-12-30 00:00:00,,2019-04-04 00:00:00,,,,,22 days 00:00:00,,292 days 00:00:00,,,,
167,145,La_Isla-Lote_ML_4,2020-01-22,ISLA,KYKUYO,1.2,62.0,1044.0,16.838709677419356,False,2020-01-22 00:00:00,1,37 days 00:00:00,62.0,2019-12-30 00:00:00,2019-02-18 00:00:00,2019-02-18 00:00:00,2019-02-18 00:00:00,2019-02-15 00:00:00,2019-02-18 00:00:00,2019-02-18 00:00:00,23 days 00:00:00,338 days 00:00:00,338 days 00:00:00,338 days 00:00:00,341 days 00:00:00,338 days 00:00:00,338 days 00:00:00
636,83,Juncalito-Lote_3,2020-01-22,JUNCAL,KYKUYO,1.3,125.0,2183.0,17.464000000000002,False,2020-01-22 00:00:00,2,51 days 00:00:00,125.0,2019-12-24 00:00:00,,,,2019-09-19 00:00:00,2019-02-13 00:00:00,,29 days 00:00:00,,,,125 days 00:00:00,343 days 00:00:00,
1105,116,Paraiso-Lote_15,2020-01-22,PARAISO,KYKUYO,1.3,112.0,1765.0,15.758928571428573,False,2020-01-22 00:00:00,1,30 days 00:00:00,112.0,2019-12-30 00:00:00,,,,2019-05-29 00:00:00,2019-05-29 00:00:00,,23 days 00:00:00,,,,238 days 00:00:00,238 days 00:00:00,
1574,23,RC24,2020-01-22,RECODO 1,KYKUYO,1.4,118.0,2205.0,18.6864406779661,False,2020-01-22 00:00:00,2,47 days 00:00:00,118.0,2019-02-19 00:00:00,,2019-04-11 00:00:00,,,,,337 days 00:00:00,,286 days 00:00:00,,,,
2043,38,RC39,2020-01-22,RECODO 2,KYKUYO,2.2,133.0,2605.0,19.586466165413533,False,2020-01-22 00:00:00,4,55 days 00:00:00,133.0,2019-05-10 00:00:00,,2019-03-13 00:00:00,2019-03-13 00:00:00,2019-03-15 00:00:00,2019-05-10 00:00:00,,257 days 00:00:00,,315 days 00:00:00,315 days 00:00:00,313 days 00:00:00,257 days 00:00:00,
2512,0,RC01,2020-01-22,RECODO 3,RAYGRAS,1.6,123.0,2418.0,19.65853658536585,False,2020-01-22 00:00:00,2,36 days 00:00:00,123.0,2019-12-30 00:00:00,,2019-04-04 00:00:00,,,,,23 days 00:00:00,,293 days 00:00:00,,,,
168,141,La_Isla-Lote_18,2020-01-23,ISLA,KYKUYO,1.2,62.0,1059.0,17.080645161290324,False,2020-01-23 00:00:00,1,33 days 00:00:00,62.0,2020-01-18 00:00:00,,2019-03-18 00:00:00,,2019-05-28 00:00:00,2019-05-28 00:00:00,,5 days 00:00:00,,311 days 00:00:00,,240 days 00:00:00,240 days 00:00:00,
637,83,Juncalito-Lote_3,2020-01-23,JUNCAL,KYKUYO,1.3,125.0,2091.0,16.727999999999998,False,2020-01-23 00:00:00,3,51 days 00:00:00,125.0,2019-12-24 00:00:00,,,,2019-09-19 00:00:00,2019-02-13 00:00:00,,30 days 00:00:00,,,,126 days 00:00:00,344 days 00:00:00,
1106,116,Paraiso-Lote_15,2020-01-23,PARAISO,KYKUYO,1.3,113.0,1721.0,15.230088495575224,False,2020-01-23 00:00:00,2,30 days 00:00:00,113.0,2019-12-30 00:00:00,,,,2019-05-29 00:00:00,2019-05-29 00:00:00,,24 days 00:00:00,,,,239 days 00:00:00,239 days 00:00:00,
1575,23,RC24,2020-01-23,RECODO 1,KYKUYO,1.4,118.0,2207.0,18.703389830508478,False,2020-01-23 00:00:00,3,47 days 00:00:00,118.0,2019-02-19 00:00:00,,2019-04-11 00:00:00,,,,,338 days 00:00:00,,287 days 00:00:00,,,,
2044,40,RC41,2020-01-23,RECODO 2,KYKUYO,1.6,133.0,2475.0,18.60902255639098,False,2020-01-23 00:00:00,1,48 days 00:00:00,133.0,2019-04-02 00:00:00,,,2019-03-14 00:00:00,2019-03-19 00:00:00,,,296 days 00:00:00,,,315 days 00:00:00,310 days 00:00:00,,
2513,0,RC01,2020-01-23,RECODO 3,RAYGRAS,1.6,122.0,2422.0,19.852459016393446,False,2020-01-23 00:00:00,3,36 days 00:00:00,122.0,2019-12-30 00:00:00,,2019-04-04 00:00:00,,,,,24 days 00:00:00,,294 days 00:00:00,,,,
